木の高さ,2by2,2by3,変形なし,変形あり
4,2,8,4,4
4,10,6,6,6
4,4,4,2,2
4,4,4,-1,3
4,4,6,-3,-3
4,9,16,7,7
4,13,7,7,7
4,15,11,-3,6
4,15,11,8,-1
4,13,12,10,9
4,4,1,2,2
4,18,14,9,10
4,4,4,4,3
4,10,7,7,6
4,6,5,5,5
4,5,7,-3,-3
4,2,4,2,2
4,12,12,10,4
4,5,9,6,6
4,10,9,6,5
4,5,15,6,6
4,15,7,8,3
4,3,7,3,3
4,10,10,7,7
4,9,16,9,7
4,4,5,3,3
4,3,10,5,5
4,3,6,4,4
4,7,8,5,5
4,10,19,8,7
4,6,9,7,7
4,16,12,9,8
4,6,5,4,4
4,11,18,7,10
4,5,4,4,5
4,7,15,9,9
4,4,15,8,7
4,4,6,3,5
4,5,5,5,5
4,12,19,10,10
4,9,19,12,9
4,10,5,7,7
4,2,4,2,2
4,5,11,7,7
4,4,8,4,4
4,14,10,9,9
4,4,6,-3,-3
4,4,5,5,5
4,1,4,2,2
4,10,10,8,8
4,6,11,4,5
4,12,10,7,9
4,7,9,8,8
4,1,7,1,1
4,6,15,10,6
4,9,15,10,12
4,9,12,6,6
4,7,14,10,9
4,9,13,9,10
4,6,6,5,4
4,17,20,11,7
4,5,6,3,3
4,5,6,5,5
4,5,15,6,6
4,5,11,7,7
4,10,17,-3,7
4,7,5,5,5
4,14,9,7,7
4,4,6,5,5
4,10,9,6,6
4,6,9,5,5
4,9,1,3,3
4,6,5,4,4
4,16,24,11,11
4,11,17,10,-2
4,6,4,3,3
4,7,12,8,6
4,11,11,9,9
4,19,13,9,7
4,20,20,-2,9
4,7,12,9,7
4,2,7,4,4
4,4,7,5,5
4,8,8,6,8
4,7,2,2,2
4,4,9,8,8
4,8,8,6,6
4,11,9,6,6
4,8,7,-1,6
4,4,4,4,4
4,10,12,9,6
4,9,2,4,4
4,6,18,9,8
4,13,12,4,5
4,6,8,3,3
4,5,11,5,5
4,6,16,9,6
4,5,8,6,6
4,6,11,9,9
4,4,13,6,6
