木の高さ,2by2,2by3,変形なしオーバーラップ,変形ありオーバーラップ,変形なしフラッシング,変形ありフラッシング
4,5,3,3,3,2,2
4,8,9,9,8,6,6
4,3,5,4,4,4,4
4,10,9,13,10,13,5
4,8,6,6,6,6,6
4,8,8,8,8,7,7
4,11,7,8,7,8,6
4,5,14,9,9,9,9
4,9,5,5,5,5,5
4,12,14,13,13,12,6
4,5,7,6,5,5,4
4,7,4,5,5,3,3
4,2,4,2,2,2,2
4,13,14,11,12,7,8
4,3,3,3,3,3,3
4,7,9,9,9,7,7
4,18,10,15,15,8,8
4,6,5,4,4,3,3
4,9,12,10,8,5,5
4,4,4,3,3,3,3
4,6,6,4,5,3,4
4,13,9,10,10,9,6
4,5,12,7,7,5,5
4,12,9,14,12,9,12
4,12,12,12,13,7,7
4,6,14,11,11,6,10
4,12,18,16,16,11,12
4,19,10,16,16,11,9
4,9,11,-1,10,-1,9
4,9,10,10,9,7,7
4,2,5,3,3,3,3
4,11,17,18,18,11,11
4,8,11,9,11,7,8
4,7,11,8,7,3,3
4,5,5,4,4,4,4
4,6,5,3,3,3,3
4,6,7,7,7,7,7
4,9,8,8,7,7,6
4,5,13,9,9,8,8
4,13,14,14,15,10,11
4,5,8,7,7,7,6
4,4,5,3,3,3,3
4,5,8,8,7,7,7
4,13,10,11,10,9,5
4,6,5,5,5,4,4
4,14,12,13,10,13,6
4,2,8,4,4,4,4
4,13,8,10,12,7,7
4,9,16,14,13,11,9
4,9,8,11,11,11,11
4,13,11,11,12,5,5
4,5,7,5,5,5,5
4,7,9,8,10,4,4
4,3,7,5,4,5,4
4,2,7,4,4,4,4
4,8,15,12,10,10,8
4,14,12,14,15,7,8
4,3,9,5,5,5,4
4,4,8,5,5,5,5
4,7,7,8,8,7,7
4,13,18,15,15,14,11
4,7,7,6,6,6,6
4,5,13,10,10,6,6
4,18,22,22,21,13,8
4,10,15,12,12,8,8
4,5,7,5,5,4,4
4,5,20,11,11,8,8
4,11,12,9,10,7,9
4,4,7,-1,3,-3,3
4,6,9,-1,6,-1,6
4,13,9,9,9,4,4
4,2,6,4,4,4,4
4,7,10,7,7,5,5
4,6,12,8,9,6,7
4,6,9,-1,6,-1,3
4,8,16,10,9,5,8
4,1,8,4,4,4,4
4,7,14,11,10,11,6
4,17,14,16,15,8,12
4,12,10,11,12,11,10
4,15,15,16,17,9,9
4,2,9,4,4,3,3
4,8,12,9,9,4,4
4,6,4,4,4,2,2
4,6,4,3,3,3,3
4,6,10,8,8,5,5
4,7,19,13,13,6,6
4,4,2,2,2,2,2
4,9,10,8,8,7,7
4,9,6,-1,6,-1,6
4,1,8,3,4,2,3
4,10,8,8,9,5,7
4,7,12,9,9,7,7
4,7,13,8,8,6,7
4,8,12,9,9,9,9
4,14,9,13,11,8,8
4,5,9,7,5,4,5
4,8,17,-1,-1,-3,-3
4,8,9,-1,7,-3,7
4,7,8,5,5,4,4
