木の高さ,変形なし,変形あり
5,7,7
5,11,12
5,17,17
5,10,12
5,10,11
5,9,6
5,36,27
5,13,13
5,17,12
5,18,16
5,-3,17
5,17,13
5,7,7
5,-3,-3
5,19,-3
5,4,4
5,12,-3
5,-3,-3
5,-3,21
5,23,-3
5,9,9
5,20,15
5,20,16
5,-3,21
5,25,18
5,13,13
5,22,18
5,20,15
5,8,6
5,8,8
5,10,8
5,17,14
5,21,21
5,12,12
5,19,19
5,25,20
5,15,16
5,5,8
5,17,14
5,8,6
5,10,8
5,10,8
5,7,2
5,10,10
5,17,11
5,15,20
5,5,5
5,18,-3
5,15,16
5,14,14
5,-3,8
5,13,13
5,5,5
5,5,4
5,24,16
5,16,17
5,15,15
5,19,18
5,3,3
5,16,16
5,27,29
5,6,6
5,15,15
5,26,27
5,-1,-1
5,17,12
5,16,15
5,5,5
5,23,17
5,14,14
5,15,16
5,-3,16
5,-3,13
5,14,13
5,13,12
5,16,16
5,23,-1
5,12,11
5,21,18
5,7,7
5,-1,19
5,19,17
5,9,8
5,-3,15
5,20,-3
5,22,22
5,12,11
5,13,13
5,6,6
5,23,23
5,22,17
5,16,14
5,22,14
5,11,11
5,20,-3
5,-3,-3
5,-3,30
5,-3,21
5,10,10
5,8,11
