木の高さ,変形なし,変形あり
5,11,8
5,15,-3
5,29,29
5,-1,24
5,4,4
5,9,9
5,16,14
5,20,19
5,21,18
5,16,14
5,17,17
5,4,4
5,-3,16
5,7,7
5,-1,18
5,6,6
5,5,5
5,8,8
5,11,8
5,19,17
5,11,11
5,20,20
5,24,21
5,7,7
5,12,12
5,6,5
5,-1,18
5,12,12
5,18,21
5,-1,16
5,-3,22
5,15,-3
5,9,9
5,21,-1
5,27,25
5,18,13
5,6,6
5,14,16
5,16,13
5,9,11
5,11,9
5,7,7
5,5,4
5,5,5
5,18,15
5,9,9
5,16,14
5,3,3
5,13,13
5,-3,-3
5,17,15
5,19,13
5,13,10
5,10,9
5,25,21
5,12,14
5,-3,16
5,-3,17
5,15,13
5,7,7
5,18,17
5,-3,9
5,-1,-1
5,17,18
5,20,19
5,17,16
5,5,5
5,8,8
5,12,13
5,15,13
5,-2,-1
5,20,-2
5,20,21
5,18,21
5,19,20
5,8,9
5,21,19
5,8,6
5,10,10
5,10,9
5,11,10
5,8,9
5,15,21
5,-3,15
5,27,20
5,13,11
5,-3,-2
5,5,5
5,15,14
5,19,14
5,9,9
5,28,26
5,-1,-3
5,8,4
5,16,15
5,-1,17
5,11,12
5,23,15
5,15,-3
5,28,24
